afo_application_number,ai_number,cnmp_received_date,deadline_to_request_hearing,deadline_to_submit_written_comments,farm_address,farm_county,farm_designation,farm_name,latest_cnmp_status_form_received_date,latitude,longitude,nmp_received_date,noi_received_date,number_of_animals,primary_animal_type,public_hearing_date,public_hearing_location,status,conservation_plan_received_date,afo_registered_date,afo_registration_number,coc_received_date
,132763,41221,,,"3005 Traceys Mill Rd, Manchester MD 21102",Carroll,CAFO,/NORMAN E. SELLERS/PANORA ACRES INC.,,39.694482,-76.891703,41464,40515,520,Dairy Cattle,,,Registered,,41547,2010-CDC-0441,
,67123,41744,,,"11071 Sharptown Rd, Mardela Springs MD 21837",Wicomico,CAFO,"11071 SHARPTOWN ROAD, LLC",,38.497188,-75.745961,,41682,86700,Chickens-not laying hens-dry,,,Registered,,41820,2014-CCD-0190,
,66698,40247,,,"4541 Shelltown Rd, Marion MD 21838",Somerset,CAFO,"A&P FARMS, INC.",,38.002648,-75.641164,39870,39870,153200,Chickens-not laying hens-dry,,,Registered,,40771,2009-CCD-0133,
,66753,40185,,,"10819 Jerusalem Rd, Princess Anne MD 21853",Somerset,CAFO,AARON LESSIG/LESSIG & MADISON BROOKE FARM,,38.178722,-75.803554,39877,39877,206000,Chickens-not laying hens-dry,,,Registered,,40564,2009-CCD-0031,
,66644,40620,,,"28586 Mt Vernon Rd, Princess Anne MD 21853",Somerset,CAFO,ABDUL WAHID/GHUMAN FARM,,38.233636,-75.759739,39870,39870,109400,Chickens-not laying hens-dry,,,Registered,,41058,2009-CCD-0134,
,67172,41792,,,"2836 Sheephouse Rd2735 Sheephouse Rd, Pocomoke City MD 21851",Worcester,CAFO,ABERDEEN FARM LLC,,38.048636,-75.53426,,41792,428000,Chickens-not laying hens-dry,,,Registered,,41844,2009-CCD-0010A,
,67785,41280,,,"10308 Caleb Rd, Berlin MD 21811",Worcester,CAFO,AG RENEWAL ENTERPRISES INC.,,38.357793,-75.236979,,39875,110000,Chickens-not laying hens-dry,,,Registered,,41967,2009-CCD-0260,
,87101,40997,,,"2409 Ward Rd, Pocomoke City MD 21851",Worcester,CAFO,AHSAN CHOUDARY / SAMS FARM,,38.084162,-75.441074,,40997,179200,Chickens-not laying hens-dry,,,Registered,,41127,2012-CCD-0610,
,29910,41887,,,"4041 Johnson Neck Rd, Pocomoke City MD 21851",Worcester,CAFO,AKSMAH LLC / BILLO'S FARM,,38.09519, -75.473020,,41752,216000,Chickens-not laying hens-dry,,,Registered,,41942,2014-CCD-0682,
,67203,41074,,,"9101 Logtown Rd, Berlin MD 21811",Worcester,CAFO,ALAN & KRISTIN HUDSON,,38.365688,-75.253851,39877,39877,80000,Chickens-not laying hens-dry,,,Registered,,41866,2009-CCD-0305,
